                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.2443,                 1.1618,                 1.1071,                 0.8062,                0.55165,                0.63797,                0.44132,                 1.0682,                 1.0464,                 1.0664,                0.00113,                0.00113,                0.00113
                    100,                 1.1958,                 1.1971,                 1.0522,                0.70359,                0.62611,                0.58706,                0.40138,                 1.1143,                  1.281,                  1.087,              0.0011287,              0.0011287,              0.0011287
                    101,                 1.1899,                 1.1429,                  1.085,                0.79175,                0.57559,                0.62928,                0.44101,                 1.0968,                 1.1397,                 1.0821,              0.0011275,              0.0011275,              0.0011275
                    102,                 1.2332,                 1.1748,                 1.0363,                 0.8644,                0.54791,                0.65227,                0.46572,                 1.0717,                 1.0305,                 1.0695,              0.0011263,              0.0011263,              0.0011263
                    103,                 1.2021,                 1.1766,                 1.0988,                0.83031,                0.56133,                0.64747,                0.46083,                  1.064,                 1.0401,                 1.0659,               0.001125,               0.001125,               0.001125
                    104,                 1.1798,                 1.2221,                 1.0625,                0.83857,                0.56576,                0.67209,                0.47398,                 1.0796,                 1.0478,                 1.0603,              0.0011238,              0.0011238,              0.0011238
                    105,                 1.2133,                   1.16,                 1.0727,                0.83165,                 0.5855,                0.68049,                0.47607,                 1.0939,                 1.1063,                  1.066,              0.0011225,              0.0011225,              0.0011225
                    106,                 1.1888,                 1.1729,                 1.1042,                0.80131,                0.59849,                0.64403,                0.42845,                 1.1521,                 1.1379,                 1.0695,              0.0011213,              0.0011213,              0.0011213
                    107,                  1.188,                 1.2132,                 1.0753,                0.75831,                0.56623,                0.60302,                0.40115,                 1.1347,                 1.1892,                 1.0618,              0.0011201,              0.0011201,              0.0011201
                    108,                 1.3084,                 1.3095,                 1.1248,                0.82361,                0.53642,                0.62603,                0.43637,                 1.1076,                 1.1086,                 1.0375,              0.0011188,              0.0011188,              0.0011188
                    109,                 1.1877,                 1.1866,                 1.0854,                 0.8459,                0.56936,                0.67786,                0.47186,                 1.0729,                 1.0507,                 1.0239,              0.0011176,              0.0011176,              0.0011176
                    110,                 1.2878,                 1.2248,                 1.0771,                 0.7985,                0.54651,                0.59704,                0.39506,                 1.1068,                  1.208,                  1.037,              0.0011164,              0.0011164,              0.0011164
                    111,                 1.3039,                  1.254,                 1.0859,                0.83719,                0.54247,                0.61336,                0.40238,                 1.1006,                 1.1867,                 1.0369,              0.0011151,              0.0011151,              0.0011151
                    112,                 1.1682,                 1.1536,                 1.0352,                0.86704,                0.56776,                0.71586,                0.49897,                 1.0744,                 1.0082,                 1.0296,              0.0011139,              0.0011139,              0.0011139
                    113,                 1.2256,                 1.1174,                 1.0824,                0.83941,                 0.6367,                0.79017,                0.57006,                 1.0748,                0.96675,                  1.035,              0.0011126,              0.0011126,              0.0011126
                    114,                 1.2647,                 1.1357,                 1.0904,                0.85077,                0.62373,                0.73095,                0.50664,                 1.0973,                0.95765,                 1.0407,              0.0011114,              0.0011114,              0.0011114
                    115,                   1.22,                 1.1054,                 1.0597,                0.83891,                0.60919,                0.70179,                0.48026,                 1.1226,                0.97053,                 1.0484,              0.0011102,              0.0011102,              0.0011102
                    116,                 1.1915,                 1.0944,                 1.0607,                0.82539,                0.60641,                0.64396,                0.45812,                 1.0144,                0.97842,                 1.0344,              0.0011089,              0.0011089,              0.0011089
                    117,                 1.1777,                 1.0801,                 1.0437,                0.84544,                0.61843,                0.77479,                0.51955,                 1.0974,                0.92523,                 1.0558,              0.0011077,              0.0011077,              0.0011077
                    118,                 1.1914,                 1.1558,                 1.0528,                0.90573,                0.58185,                0.71432,                0.50945,                 1.0131,                 0.9057,                 1.0366,              0.0011065,              0.0011065,              0.0011065
                    119,                 1.1554,                 1.0727,                 1.0361,                0.87098,                0.58574,                0.67824,                0.49093,                0.99102,                0.97073,                  1.031,              0.0011052,              0.0011052,              0.0011052
                    120,                 1.1944,                 1.1288,                 1.0841,                0.85851,                0.55546,                0.65764,                0.47875,                   1.01,                0.96272,                 1.0278,               0.001104,               0.001104,               0.001104
                    121,                  1.158,                 1.1018,                 1.0727,                0.84361,                0.57486,                0.72691,                0.50989,                0.99978,                0.96418,                 1.0236,              0.0011027,              0.0011027,              0.0011027
                    122,                 1.1751,                 1.0651,                 1.0679,                0.84056,                0.60586,                0.73695,                 0.5204,                 1.0366,                0.93393,                 1.0308,              0.0011015,              0.0011015,              0.0011015
                    123,                 1.2128,                 1.0528,                 1.0507,                0.82304,                0.59621,                0.77573,                0.54256,                  1.065,                 0.9565,                 1.0347,              0.0011003,              0.0011003,              0.0011003
                    124,                 1.1643,                 1.0794,                 1.0359,                 0.7988,                0.59581,                 0.6555,                0.46206,                 1.0265,                0.98352,                  1.022,               0.001099,               0.001099,               0.001099
                    125,                 1.1576,                 1.0558,                 1.0412,                0.87311,                0.63627,                   0.81,                0.56689,                 1.0128,                0.84071,                 1.0146,              0.0010978,              0.0010978,              0.0010978
                    126,                 1.1735,                 1.0347,                 1.0129,                0.87142,                0.58672,                 0.6862,                0.48712,                 1.0147,                0.88866,                 1.0165,              0.0010965,              0.0010965,              0.0010965
                    127,                 1.1344,                 1.0696,                 1.0492,                 0.8831,                0.62253,                0.72817,                0.51057,                 1.0248,                0.85727,                 1.0171,              0.0010953,              0.0010953,              0.0010953
                    128,                 1.1587,                 1.1119,                 1.0399,                0.75252,                0.64021,                0.63809,                0.44631,                 1.0486,                 1.0654,                 1.0274,              0.0010941,              0.0010941,              0.0010941
                    129,                 1.1185,                 1.0119,                 1.0272,                0.86804,                0.62745,                0.75186,                0.51367,                 1.0764,                0.82905,                 1.0292,              0.0010928,              0.0010928,              0.0010928
                    130,                 1.1408,                 1.0502,                 1.0404,                0.89649,                0.57717,                0.67929,                0.47832,                 1.0031,                 0.8743,                  1.013,              0.0010916,              0.0010916,              0.0010916
                    131,                  1.074,                0.99918,                 1.0188,                0.89886,                0.61004,                0.82748,                0.60516,                0.95601,                 0.7968,                0.99771,              0.0010904,              0.0010904,              0.0010904
                    132,                 1.1792,                 1.0393,                 1.0467,                0.81464,                0.59905,                0.65401,                0.45513,                 1.0531,                 1.0066,                 1.0275,              0.0010891,              0.0010891,              0.0010891
                    133,                 1.1333,                 1.0677,                 1.0849,                 0.9031,                0.58779,                0.69432,                0.48361,                 1.0428,                0.87458,                 1.0265,              0.0010879,              0.0010879,              0.0010879
                    134,                 1.0901,                 1.0035,                 1.0493,                0.90675,                0.58789,                0.71165,                0.50982,                 1.0179,                0.84953,                 1.0273,              0.0010866,              0.0010866,              0.0010866
                    135,                 1.1563,                 1.0646,                 1.0678,                0.88979,                0.58085,                0.70111,                0.50273,                 1.0018,                 0.9103,                 1.0223,              0.0010854,              0.0010854,              0.0010854
                    136,                 1.1232,                 1.0223,                 1.0423,                0.78589,                0.63354,                 0.6415,                0.45468,                 1.0481,                 1.0903,                  1.029,              0.0010842,              0.0010842,              0.0010842
                    137,                 1.1392,                 1.0039,                 1.0288,                0.85151,                0.61285,                0.69017,                    0.5,                 0.9919,                0.86287,                 1.0112,              0.0010829,              0.0010829,              0.0010829
                    138,                  1.066,                0.96036,                  1.032,                0.86036,                0.62978,                0.73691,                0.54676,                0.94578,                0.79476,                0.99343,              0.0010817,              0.0010817,              0.0010817
                    139,                 1.1947,                 1.0567,                 1.0157,                0.90719,                0.61735,                0.76712,                0.56236,                0.95217,                0.80465,                 0.9962,              0.0010805,              0.0010805,              0.0010805
